"Indicator ID","Indicator","Value","Percentage","Environmental Process ID","Environmental Process"
109,"Types of investment on environmental protection made by large economic units",139944000,19.39752197265625,30,"Decrease energy consumption"
109,"Types of investment on environmental protection made by large economic units",87651000,12.149231910705566,31,"Decrease water consumption"
109,"Types of investment on environmental protection made by large economic units",68495000,9.494034767150879,32,"Reduce waste generated in processes"
109,"Types of investment on environmental protection made by large economic units",59209000,8.206910133361816,33,"Non-hazardous waste management"
109,"Types of investment on environmental protection made by large economic units",15947000,2.210400342941284,34,"Hazardous waste management"
109,"Types of investment on environmental protection made by large economic units",43834000,6.075794219970703,35,"Sewer, drainage or sanitation"
109,"Types of investment on environmental protection made by large economic units",6434000,0.8918113708496094,36,"Ecosystem protection activities"
109,"Types of investment on environmental protection made by large economic units",12012000,1.6649733781814575,37,"Mitigate or reduce noise"
109,"Types of investment on environmental protection made by large economic units",138503000,19.197786331176758,38,"Sewage treatment"
109,"Types of investment on environmental protection made by large economic units",9521000,1.3196978569030762,39,"Care and maintenance of the vehicle fleet"
109,"Types of investment on environmental protection made by large economic units",16430000,2.277348518371582,40,"Reduce emissions to the atmosphere"
109,"Types of investment on environmental protection made by large economic units",60003000,8.31696605682373,41,"Participation in environmental care campaigns"
109,"Types of investment on environmental protection made by large economic units",3233000,0.44812342524528503,42,"Hiring of consultants and external services"
109,"Types of investment on environmental protection made by large economic units",60237000,8.349400520324707,43,"Other environmental protection activities"
